32135, the Ville, 스마게 디자인 하우스
32145, the Ville, 나폴레옹 보나파르트의 아파트
32155, the Ville, Ryan Park's apartment 
32165, the Ville, 호식 맨션
32175, the Ville, Giorgio Rossi's apartment
32185, the Ville, Carlos Gomez's apartment
32195, the Ville, 스마게 주점
32136, the Ville, Hosik Cafe
32146, the Ville, 스마게 대학교
32156, the Ville, 중앙공원
32166, the Ville, 스마게 매점
32176, the Ville, 스마게 약국
32186, the Ville, 아담 스미스의 집
32196, the Ville, Yuriko Yamamoto's house
32137, the Ville, Moore family's house
32147, the Ville, 클레오 파트라와 아이작 뉴턴의 집
32157, the Ville, Moreno family's house
32167, the Ville, Lin family's house
32177, the Ville, 스마게 대학교 기숙사
